phenotype	snp	covariates	beta	SE	OR	p	type	n_total	n_cases	n_controls	HWE_p	allele_freq	n_no_snp	formula	expanded_formula	note
id	BAG3	sex	-6665.7053497757	3898.14455996109	NA	0.0872724124536381	linear	408663	NA	NA	0.145404476177903	0.216065560131453	966	`id` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
008	BAG3	sex	-0.0202728556601025	0.0253731223844368	0.979931257035399	0.424296562273969	logistic	408663	4690	403973	0.145404476177903	0.216065560131453	966	`008` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
008.5	BAG3	sex	-0.0224318993700863	0.031134990763752	0.977817824935796	0.471234229648782	logistic	407079	3106	403973	0.168209554025039	0.216075995077123	962	`008.5` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
008.51	BAG3	sex	-0.384300906726461	0.314574492059116	0.680926500984886	0.221838835098116	logistic	404011	38	403973	0.155543344622966	0.216099314127586	952	`008.51` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
008.52	BAG3	sex	-0.0854016315328766	0.0612127387154269	0.918143454976429	0.162967266270151	logistic	404802	829	403973	0.149143928992999	0.216076007529607	956	`008.52` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
008.6	BAG3	sex	-0.00896175461521282	0.0524964375281597	0.991078282218321	0.864450484765975	logistic	405052	1079	403973	0.149189769471513	0.216100648805585	957	`008.6` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
008.7	BAG3	sex	0.302333389772982	0.192625193957059	1.35301223196589	0.116521631410471	logistic	404041	68	403973	0.155518313526153	0.216114206231546	952	`008.7` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
010	BAG3	sex	-0.280070906094074	0.143130321523705	0.755730153682526	0.0503763344749341	logistic	390547	171	390376	0.0412619687015512	0.215917674441232	924	`010` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
031	BAG3	sex	-0.656073519784482	0.436472043221331	0.518884730463024	0.132805939026282	logistic	390400	24	390376	0.0443531237325552	0.215931096311475	924	`031` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
031.1	BAG3	sex	NA	NA	NA	NA	NA	390376	NA	NA	NA	NA	924	NA	NA	 [Note: Column(s) dropped due to lack of variability:  031.1 ] [Error: non-varying phenotype or genotype]
038	BAG3	sex	0.0110373347707527	0.0229133565090147	1.01109847086967	0.630019977142704	logistic	396046	5670	390376	0.00837315966430136	0.215966074647894	934	`038` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
038.1	BAG3	sex	0.0319088843727295	0.0505614387133832	1.03242343111083	0.527980825637215	logistic	391513	1137	390376	0.0189944112723676	0.215953237823521	926	`038.1` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
038.2	BAG3	sex	-0.0614210239138471	0.0706068157358679	0.940427214067358	0.384353856418554	logistic	390990	614	390376	0.0730748642336079	0.215921123302386	925	`038.2` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
038.3	BAG3	sex	NA	NA	NA	NA	NA	390376	NA	NA	NA	NA	924	NA	NA	 [Note: Column(s) dropped due to lack of variability:  038.3 ] [Error: non-varying phenotype or genotype]
041	BAG3	sex	0.0206410083524477	0.0145355307870602	1.02085550724782	0.155596572721469	logistic	404701	14325	390376	0.066566457331119	0.216064452521738	959	`041` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
041.1	BAG3	sex	0.0196350920750216	0.0281659288805637	1.01982912838832	0.485726371690956	logistic	394091	3715	390376	0.00244211932868957	0.215970423074874	936	`041.1` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
041.11	BAG3	sex	NA	NA	NA	NA	NA	390376	NA	NA	NA	NA	924	NA	NA	 [Note: Column(s) dropped due to lack of variability:  041.11 ] [Error: non-varying phenotype or genotype]
041.12	BAG3	sex	NA	NA	NA	NA	NA	390376	NA	NA	NA	NA	924	NA	NA	 [Note: Column(s) dropped due to lack of variability:  041.12 ] [Error: non-varying phenotype or genotype]
041.2	BAG3	sex	0.0835047965790009	0.0377693822230874	1.0870904295955	0.0270419018434407	logistic	392362	1986	390376	0.0218293140959272	0.216010979656542	927	`041.2` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
041.21	BAG3	sex	NA	NA	NA	NA	logistic	390395	19	390376	0.0467075868110091	0.215940265628402	924	`041.21` ~ `BAG3` + `sex`	NA	 [Error: < 20  cases or controls]
041.4	BAG3	sex	0.0169197626195825	0.0283985405183916	1.0170637125232	0.551310909882799	logistic	394041	3665	390376	0.163681374126496	0.215962298339513	932	`041.4` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
041.8	BAG3	sex	NA	NA	NA	NA	NA	390376	NA	NA	NA	NA	924	NA	NA	 [Note: Column(s) dropped due to lack of variability:  041.8 ] [Error: non-varying phenotype or genotype]
041.9	BAG3	sex	NA	NA	NA	NA	NA	390376	NA	NA	NA	NA	924	NA	NA	 [Note: Column(s) dropped due to lack of variability:  041.9 ] [Error: non-varying phenotype or genotype]
053	BAG3	sex	0.0385765972966875	0.0737192859316882	1.03933033520315	0.600772155322542	logistic	402839	532	402307	0.109846033945814	0.216122321820876	944	`053` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
053.1	BAG3	sex	0.11012741262916	0.151473135645263	1.1164203074439	0.467199899114532	logistic	402428	121	402307	0.15896333728311	0.216119405210373	941	`053.1` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
054	BAG3	sex	-0.164221354152871	0.110006142283605	0.8485541701006	0.135479586401403	logistic	402576	269	402307	0.160308130592061	0.216095842772545	942	`054` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
070	BAG3	sex	-0.0450893722174704	0.0688408114951319	0.955912046036103	0.512480467245014	logistic	402946	639	402307	0.150203254176756	0.216102157609208	943	`070` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
070.1	BAG3	sex	0.348607630328714	0.184156995171471	1.41709305690725	0.0583589971050903	logistic	402380	73	402307	0.167807324358519	0.21612530443859	941	`070.1` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
070.2	BAG3	sex	-0.131201044551313	0.147606527703018	0.877041432264093	0.374080122699046	logistic	402453	146	402307	0.160185000354209	0.216105980077177	942	`070.2` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
070.3	BAG3	sex	-0.0486090836042489	0.105725603970237	0.952553425677389	0.645683880788227	logistic	402578	271	402307	0.187229203260426	0.216108431161166	942	`070.3` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
070.4	BAG3	sex	0.055400561764038	0.0957320462083592	1.05696390922003	0.562788608492154	logistic	402620	313	402307	0.13568118227311	0.216120659679102	944	`070.4` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
070.9	BAG3	sex	0.013714218282951	0.0730516522315081	1.01380868954701	0.851085826266183	logistic	402856	549	402307	0.198235571014789	0.216116925154398	943	`070.9` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
071	BAG3	sex	-0.0201590125874975	0.143148342773122	0.980042821770958	0.888007380268554	logistic	402452	145	402307	0.19545237477315	0.216112728971405	941	`071` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
071.1	BAG3	sex	0.0263391049303607	0.15862619633351	1.02668904476655	0.868121446708887	logistic	402422	115	402307	0.180851667509897	0.216115172629727	941	`071.1` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
078	BAG3	sex	-0.0155354006742268	0.0536232103543431	0.984584651174296	0.772034960689294	logistic	403345	1038	402307	0.212231979574944	0.216106558901189	946	`078` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
079	BAG3	sex	-0.0237205295117538	0.0308109692448169	0.976558590931224	0.441375304866353	logistic	405484	3177	402307	0.157983551826284	0.216081275710016	951	`079` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
079.1	BAG3	sex	-0.152196852209109	0.231829551553753	0.858819203642607	0.511500382217719	logistic	402367	60	402307	0.162608794197328	0.216109919551057	941	`079.1` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
079.2	BAG3	sex	-0.217308759822669	0.225582987355987	0.804681477634514	0.335386611599513	logistic	402373	66	402307	0.155798457881423	0.216107939648038	941	`079.2` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
079.9	BAG3	sex	NA	NA	NA	NA	NA	402307	NA	NA	NA	NA	941	NA	NA	 [Note: Column(s) dropped due to lack of variability:  079.9 ] [Error: non-varying phenotype or genotype]
080	BAG3	sex	-0.0384519884928253	0.0247036102051252	0.962277904043254	0.119581363463369	logistic	407492	5002	402490	0.164858231860932	0.216020191807447	964	`080` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
081	BAG3	sex	0.0789052921720144	0.0447318032452062	1.08210183370284	0.0777380344211347	logistic	403906	1416	402490	0.203255575733425	0.216146826241749	953	`081` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
081.1	BAG3	sex	NA	NA	NA	NA	NA	402490	NA	NA	NA	NA	951	NA	NA	 [Note: Column(s) dropped due to lack of variability:  081.1 ] [Error: non-varying phenotype or genotype]
081.11	BAG3	sex	NA	NA	NA	NA	NA	402490	NA	NA	NA	NA	951	NA	NA	 [Note: Column(s) dropped due to lack of variability:  081.11 ] [Error: non-varying phenotype or genotype]
081.12	BAG3	sex	NA	NA	NA	NA	NA	402490	NA	NA	NA	NA	951	NA	NA	 [Note: Column(s) dropped due to lack of variability:  081.12 ] [Error: non-varying phenotype or genotype]
090	BAG3	sex	-0.192564430306352	0.230948936344501	0.824841171722114	0.404395630125285	logistic	408663	62	408601	0.145404476177903	0.216065560131453	966	`090` ~ `BAG3` + `sex`	(Intercept) + BAG3 + sex	
