phenotype	snp	covariates	beta	SE	OR	p	type	n_total	n_cases	n_controls	HWE_p	allele_freq	n_no_snp	formula	expanded_formula	note
id	FHOD3	sex	2734.91079391199	3438.9849405252	NA	0.426458742060095	linear	408641	NA	NA	0.869802509087046	0.321766538355182	988	`id` ~ `FHOD3` + `sex`	(Intercept) + FHOD3 + sex	
008	FHOD3	sex	0.00456631596118008	0.0222297677659088	1.00457675746893	0.837248315991071	logistic	408641	4694	403947	0.869802509087046	0.321766538355182	988	`008` ~ `FHOD3` + `sex`	(Intercept) + FHOD3 + sex	
008.5	FHOD3	sex	0.0140386884549436	0.0272061097075768	1.01413769359999	0.605845787468608	logistic	407058	3111	403947	0.865437601877521	0.321778468915978	983	`008.5` ~ `FHOD3` + `sex`	(Intercept) + FHOD3 + sex	
008.51	FHOD3	sex	-0.218497201131253	0.256841453644731	0.803725728964332	0.39493131463784	logistic	403985	38	403947	0.868089862048374	0.321750807579489	978	`008.51` ~ `FHOD3` + `sex`	(Intercept) + FHOD3 + sex	
008.52	FHOD3	sex	0.000971032550921677	0.0526154324492297	1.00097150415566	0.985275652679762	logistic	404778	831	403947	0.862608383170822	0.321755381962458	980	`008.52` ~ `FHOD3` + `sex`	(Intercept) + FHOD3 + sex	
008.6	FHOD3	sex	-0.0121901763346424	0.0462507217841024	0.987883822871896	0.79211338404236	logistic	405028	1081	403947	0.873553760037104	0.321748126055483	981	`008.6` ~ `FHOD3` + `sex`	(Intercept) + FHOD3 + sex	
008.7	FHOD3	sex	0.00948517978590024	0.183478992416718	1.00953030666971	0.958770708270596	logistic	404015	68	403947	0.872263034836803	0.321755380369541	978	`008.7` ~ `FHOD3` + `sex`	(Intercept) + FHOD3 + sex	
010	FHOD3	sex	-0.0262252812524479	0.116416373702869	0.974115614902155	0.821768135570752	logistic	390529	171	390358	0.767142597858264	0.321849337693231	942	`010` ~ `FHOD3` + `sex`	(Intercept) + FHOD3 + sex	
031	FHOD3	sex	0.144384002223839	0.302131372292251	1.15532767175005	0.632732172697795	logistic	390382	24	390358	0.767051848618219	0.321853978923209	942	`031` ~ `FHOD3` + `sex`	(Intercept) + FHOD3 + sex	
031.1	FHOD3	sex	NA	NA	NA	NA	NA	390358	NA	NA	NA	NA	942	NA	NA	 [Note: Column(s) dropped due to lack of variability:  031.1 ] [Error: non-varying phenotype or genotype]
038	FHOD3	sex	-0.0216184606635335	0.0203525693770009	0.978613543392776	0.288145759076429	logistic	396025	5667	390358	0.746232190178993	0.321781453191086	955	`038` ~ `FHOD3` + `sex`	(Intercept) + FHOD3 + sex	
038.1	FHOD3	sex	-0.10244087779963	0.0458533329789011	0.902631513736627	0.025476570641189	logistic	391496	1138	390358	0.747633650323323	0.321787451212784	943	`038.1` ~ `FHOD3` + `sex`	(Intercept) + FHOD3 + sex	
038.2	FHOD3	sex	0.0135098618209526	0.0609922256712169	1.01360153235775	0.824702066470027	logistic	390973	615	390358	0.745129302644485	0.321855984940137	942	`038.2` ~ `FHOD3` + `sex`	(Intercept) + FHOD3 + sex	
038.3	FHOD3	sex	NA	NA	NA	NA	NA	390358	NA	NA	NA	NA	942	NA	NA	 [Note: Column(s) dropped due to lack of variability:  038.3 ] [Error: non-varying phenotype or genotype]
041	FHOD3	sex	-0.00550733839908111	0.0129062084679724	0.994507799187021	0.669583218191099	logistic	404682	14324	390358	0.884903161549812	0.321806999075818	978	`041` ~ `FHOD3` + `sex`	(Intercept) + FHOD3 + sex	
041.1	FHOD3	sex	0.00496399795658334	0.0249467607032286	1.00497633900631	0.842275519957137	logistic	394077	3719	390358	0.80072357741042	0.321859687319991	950	`041.1` ~ `FHOD3` + `sex`	(Intercept) + FHOD3 + sex	
041.11	FHOD3	sex	NA	NA	NA	NA	NA	390358	NA	NA	NA	NA	942	NA	NA	 [Note: Column(s) dropped due to lack of variability:  041.11 ] [Error: non-varying phenotype or genotype]
041.12	FHOD3	sex	NA	NA	NA	NA	NA	390358	NA	NA	NA	NA	942	NA	NA	 [Note: Column(s) dropped due to lack of variability:  041.12 ] [Error: non-varying phenotype or genotype]
041.2	FHOD3	sex	-0.0479278645011452	0.0343754974838983	0.953202544338601	0.163243641956629	logistic	392345	1987	390358	0.772514125573067	0.321798417209344	944	`041.2` ~ `FHOD3` + `sex`	(Intercept) + FHOD3 + sex	
041.21	FHOD3	sex	NA	NA	NA	NA	logistic	390377	19	390358	0.756259062522955	0.321845293139709	942	`041.21` ~ `FHOD3` + `sex`	NA	 [Error: < 20  cases or controls]
041.4	FHOD3	sex	-0.00808670236955309	0.0251981909092111	0.991945907047965	0.748268041417414	logistic	394018	3660	390358	0.798434341141815	0.321836819637682	955	`041.4` ~ `FHOD3` + `sex`	(Intercept) + FHOD3 + sex	
041.8	FHOD3	sex	NA	NA	NA	NA	NA	390358	NA	NA	NA	NA	942	NA	NA	 [Note: Column(s) dropped due to lack of variability:  041.8 ] [Error: non-varying phenotype or genotype]
041.9	FHOD3	sex	NA	NA	NA	NA	NA	390358	NA	NA	NA	NA	942	NA	NA	 [Note: Column(s) dropped due to lack of variability:  041.9 ] [Error: non-varying phenotype or genotype]
053	FHOD3	sex	-0.035524344156805	0.0659883354917178	0.965099239416804	0.590340420128184	logistic	402814	535	402279	0.874138812518292	0.321709275248626	969	`053` ~ `FHOD3` + `sex`	(Intercept) + FHOD3 + sex	
053.1	FHOD3	sex	0.041044284484651	0.136825846007339	1.04189824445067	0.76419649641936	logistic	402400	121	402279	0.880433807349262	0.321722166998012	969	`053.1` ~ `FHOD3` + `sex`	(Intercept) + FHOD3 + sex	
