phenotype	type	unique_value	regression	genotype	beta	p	description
FHOD3	integer	4	linear	BAG3	0.00173588610873789	0.328142592101146	NA
f.31.0.0	factor	3	logistic	BAG3	0.0128396844980864	0.0172277849440879	Sex
f.46.0.0	integer	85	linear	BAG3	0.0044360522734284	0.834686817004328	Hand grip strength (left)
f.47.0.0	integer	88	linear	BAG3	-0.000616906620457478	0.976856358596871	Hand grip strength (right)
f.48.0.0	numeric	722	linear	BAG3	0.0320773580185097	0.318735783479503	Waist circumference
f.49.0.0	numeric	589	linear	BAG3	0.00497682551459948	0.839730487529614	Hip circumference
f.50.0.0	numeric	543	linear	BAG3	-0.136664312914252	4.27558158733721e-15	Standing height
f.84.0.0	integer	137	linear	BAG3	-7.40100968219912	0.221348742373865	Cancer year/age first occurred
f.93.0.0	integer	150	linear	BAG3	-0.426662704096144	0.0391660580093878	Systolic blood pressure, manual reading
f.102.0.0	integer	132	linear	BAG3	-0.160786604054248	6.81177476266264e-07	Pulse rate, automated reading
f.134.0.0	integer	8	linear	BAG3	0.000925919685113819	0.268014527416067	Number of self-reported cancers
f.135.0.0	integer	29	linear	BAG3	-0.00188537380857643	0.707406290180127	Number of self-reported non-cancer illnesses
f.136.0.0	integer	21	linear	BAG3	-0.00356875969818233	0.386577919204861	Number of operations, self-reported
f.137.0.0	integer	33	linear	BAG3	-0.002572368158613	0.719666063194739	Number of treatments/medications taken
f.874.0.0	integer	279	linear	BAG3	0.00346763388953239	0.986856800397697	Duration of walks
f.894.0.0	integer	243	linear	BAG3	-0.258063889547772	0.251250469379393	Duration of moderate activity
f.914.0.0	integer	186	linear	BAG3	0.00841182700606573	0.959484942148949	Duration of vigorous activity
f.1001.0.0	factor	10	logistic	BAG3	0.111709249345782	0.233288131797915	Duration of strenuous sports
f.1160.0.0	integer	23	linear	BAG3	-0.000436422636395713	0.896383920712899	Sleep duration
f.1180.0.0	factor	7	logistic	BAG3	-0.0132286163129589	0.13281713041951	Morning/evening person (chronotype)
f.1488.0.0	integer	53	linear	BAG3	0.00530649568842021	0.588569726954103	Tea intake
f.1498.0.0	integer	43	linear	BAG3	0.00457400649275525	0.649382525625063	Coffee intake
f.2335.0.0	factor	5	logistic	BAG3	-0.0134992740612047	0.640184386648495	Chest pain or discomfort
f.2734.0.0	integer	19	linear	NA	NA	NA	Number of live births
f.3606.0.0	factor	5	logistic	BAG3	-0.182642220799243	0.0626123949606077	Chest pain or discomfort walking normally
f.3647.0.0	factor	10	logistic	BAG3	0.0242835884722316	0.583138165645228	Duration of other exercises
f.3751.0.0	factor	5	logistic	BAG3	0.00723272186206974	0.880824300516663	Chest pain or discomfort when walking uphill or hurrying
f.3829.0.0	integer	14	linear	NA	NA	NA	Number of stillbirths
f.3839.0.0	integer	23	linear	NA	NA	NA	Number of spontaneous miscarriages
f.3849.0.0	integer	14	linear	NA	NA	NA	Number of pregnancy terminations
f.4079.0.0	integer	108	linear	BAG3	-0.144192303729988	8.08953549720795e-07	Diastolic blood pressure, automated reading
f.4080.0.0	integer	184	linear	BAG3	-0.104883126105796	0.0524501373019974	Systolic blood pressure, automated reading
f.4194.0.0	integer	130	linear	BAG3	-0.169534839271277	0.00174127160539603	Pulse rate
f.4501.0.0	factor	5	logistic	BAG3	-0.0241500509609611	0.339456703641704	Non-accidental death in close genetic family
f.4717.0.0	factor	5	logistic	BAG3	-0.055288887846096	0.125380117433349	Shortness of breath walking on level ground
f.4728.0.0	factor	5	logistic	BAG3	0.0225928856750314	0.654295999499202	Leg pain on walking
f.5057.0.0	integer	20	linear	BAG3	0.00348679470666809	0.606447882688987	Number of older siblings
f.5364.0.0	integer	23	linear	BAG3	0.000138363676479054	0.960782770560412	Average weekly intake of other alcoholic drinks
f.5452.0.0	factor	5	logistic	BAG3	-0.0289197123659551	0.614647949624895	Leg pain when standing still or sitting
f.5463.0.0	factor	5	logistic	BAG3	0.0668036339552359	0.427946943853316	Leg pain in calf/calves
f.5485.0.0	factor	5	logistic	BAG3	0.0420479217952986	0.525634221151274	Leg pain when walking normally
f.5529.0.0	factor	5	logistic	BAG3	-0.166196038433389	0.288900192792072	Surgery on leg arteries (other than for varicose veins)
f.5959.0.0	factor	4	logistic	BAG3	16.7145872863623	0.994511504515482	Previously smoked cigarettes on most/all days
f.5983.0.1	integer	122	linear	BAG3	-0.137560404333236	0.118255408888271	ECG, heart rate
f.5985.0.0	integer	2	linear	NA	NA	NA	Bicycle speed
f.6015.0.0	factor	4	logistic	BAG3	-0.0272642962431664	0.389036651437479	Chest pain felt during physical activity
f.6016.0.0	factor	4	logistic	BAG3	-0.0249623612530273	0.491334260286985	Chest pain felt outside physical activity
f.6017.0.0	factor	4	logistic	BAG3	0.0577030450522158	0.130773874043899	Able to walk or cycle unaided for 10 minutes
f.6153.0.0	factor	9	logistic	NA	NA	NA	Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones
f.6154.0.0	factor	10	logistic	BAG3	-0.0215975764109549	0.450545489107614	Medication for pain relief, constipation, heartburn
f.6155.0.0	factor	10	logistic	BAG3	-0.0137163870241714	0.747986646311372	Vitamin and mineral supplements
f.6177.0.0	factor	7	logistic	NA	NA	NA	Medication for cholesterol, blood pressure or diabetes
f.6179.0.0	factor	9	logistic	BAG3	0.0030247454731451	0.963450869890317	Mineral and other dietary supplements
f.6183.0.0	integer	34	linear	BAG3	0.139490399941481	0.771623305020444	Number of cigarettes previously smoked daily (current cigar/pipe smokers)
