phenotype	type	unique_value	regression	genotype	beta	p	description
FHOD3	integer	4	linear	NA	NA	NA	NA
f.31.0.0	factor	3	logistic	FHOD3	-0.00890204955136741	0.0613282193696421	Sex
f.46.0.0	integer	85	linear	FHOD3	0.0135624220815918	0.469635942929017	Hand grip strength (left)
f.47.0.0	integer	88	linear	FHOD3	0.0377314938736521	0.0443435508047657	Hand grip strength (right)
f.48.0.0	numeric	722	linear	FHOD3	-0.0206315983879263	0.467248848449806	Waist circumference
f.49.0.0	numeric	589	linear	FHOD3	0.0236551114563591	0.275898694327602	Hip circumference
f.50.0.0	numeric	543	linear	FHOD3	0.0084826544259466	0.58089894858864	Standing height
f.84.0.0	integer	137	linear	FHOD3	11.5627636058463	0.0310363253301591	Cancer year/age first occurred
f.93.0.0	integer	150	linear	FHOD3	0.0304852590223736	0.866748515284878	Systolic blood pressure, manual reading
f.102.0.0	integer	132	linear	FHOD3	-0.122184976420359	1.89132338340531e-05	Pulse rate, automated reading
f.134.0.0	integer	8	linear	FHOD3	-0.000452209316183842	0.539765724781481	Number of self-reported cancers
f.135.0.0	integer	29	linear	FHOD3	-0.00754621683294528	0.0885525765415498	Number of self-reported non-cancer illnesses
f.136.0.0	integer	21	linear	FHOD3	-0.0033073639398443	0.363108036209078	Number of operations, self-reported
f.137.0.0	integer	33	linear	FHOD3	0.000927673853390981	0.88336040253164	Number of treatments/medications taken
f.874.0.0	integer	279	linear	FHOD3	0.148989892338687	0.422604218933362	Duration of walks
f.894.0.0	integer	243	linear	FHOD3	0.118622792054665	0.550293061734193	Duration of moderate activity
f.914.0.0	integer	186	linear	FHOD3	-0.0906986983146504	0.534482113891968	Duration of vigorous activity
f.1001.0.0	factor	10	logistic	FHOD3	-0.0176732493535345	0.825158304489823	Duration of strenuous sports
f.1160.0.0	integer	23	linear	FHOD3	-0.004389042337627	0.137566962223546	Sleep duration
f.1180.0.0	factor	7	logistic	FHOD3	0.00102315464239695	0.895535054050368	Morning/evening person (chronotype)
